ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
0,TENGEH,271.0,315.0,232,264,0,0,0,0
1,MARINA SOUTH,349.0,317.0,371,331,0,0,0,0
2,SAFTI,412.0,1441.0,340,1019,0,0,0,0
3,PIONEER SECTOR,499.0,699.0,404,563,0,0,0,0
4,TUAS VIEW EXTENSION,650.0,620.0,740,635,0,0,0,0
5,LORONG HALUS,651.0,486.0,558,301,0,0,0,0
6,THE WHARVES,652.0,1564.0,694,1539,0,0,0,0
7,SEMBAWANG STRAITS,683.0,975.0,780,1106,0,0,0,0
8,LIM CHU KANG,778.0,944.0,969,935,0,0,0,0
9,GUL BASIN,804.0,517.0,564,435,0,0,0,0
10,PANG SUA,855.0,816.0,524,491,0,0,0,0
11,SHIPYARD,873.0,969.0,564,690,0,0,0,0
12,SAMULUN,890.0,456.0,600,358,0,0,0,0
13,ISTANA NEGARA,974.0,1069.0,679,710,0,0,0,0
14,BENOI SECTOR,986.0,969.0,639,690,0,0,0,0
15,RESERVOIR VIEW,1042.0,944.0,856,877,0,0,0,0
16,PAYA LEBAR WEST,1050.0,812.0,603,460,0,0,0,0
17,AIRPORT ROAD,1103.0,1073.0,407,399,0,0,0,0
18,MANDAI WEST,1123.0,727.0,956,630,0,0,0,0
19,MONK'S HILL,1198.0,821.0,861,631,0,0,0,0
20,SENGKANG WEST,1231.0,1437.0,1164,1242,0,0,0,0
21,PLAB,1254.0,1950.0,726,1293,0,0,0,0
22,PAYA LEBAR EAST,1271.0,1391.0,887,964,0,0,0,0
23,MAXWELL,1283.0,763.0,1234,715,0,0,0,0
24,TUAS VIEW,1310.0,1171.0,1380,1019,0,0,0,0
25,PENJURU CRESCENT,1385.0,1961.0,1020,1455,0,0,0,0
26,ORANGE GROVE,1398.0,776.0,1304,635,0,0,0,0
27,PHILLIP,1404.0,109.0,541,38,0,0,0,0
28,TANGLIN,1471.0,1478.0,1123,1169,0,0,0,0
29,SENTOSA,1538.0,939.0,2819,2425,0,0,0,0
30,JURONG PORT,1563.0,1414.0,1077,1052,0,0,0,0
31,OXLEY,1825.0,1931.0,1693,1776,0,0,0,0
32,SELETAR AEROSPACE PARK,1855.0,1917.0,1211,1313,0,0,0,0
33,MANDAI ESTATE,1920.0,1222.0,1735,1053,0,0,0,0
34,LIU FANG,1938.0,1961.0,1442,1395,0,0,0,0
35,SEMBAWANG EAST,2017.0,2818.0,1735,2672,0,0,0,0
36,GREENWOOD PARK,2076.0,2123.0,917,1539,0,0,0,0
37,LOYANG EAST,2321.0,3087.0,1556,2421,0,0,0,0
38,YIO CHU KANG NORTH,2330.0,5272.0,1377,3892,0,0,0,0
39,PEI CHUN,2385.0,4089.0,2071,3493,0,0,0,0
40,LITTLE INDIA,2388.0,2221.0,2415,2330,0,0,0,0
41,SENOKO WEST,2413.0,3326.0,2016,2785,0,0,0,0
42,SENOKO NORTH,2413.0,2818.0,2016,2231,0,0,0,0
43,INSTITUTION HILL,2527.0,2326.0,2230,2050,0,0,0,0
44,NEE SOON,2615.0,2289.0,2302,1837,0,0,0,0
45,TENGAH,2792.0,2568.0,2311,2048,0,0,0,0
46,ALEXANDRA NORTH,2801.0,3061.0,2237,2265,0,0,0,0
47,SIGLAP,3013.0,6491.0,2738,5813,0,0,0,0
48,KIM KEAT,3014.0,5183.0,2499,4447,0,0,0,0
49,PASIR RIS PARK,3054.0,4420.0,2656,4236,0,0,0,0
50,CHOA CHU KANG NORTH,3186.0,2876.0,2429,2430,0,0,0,0
51,MANDAI EAST,3515.0,2289.0,3090,2231,0,0,0,0
52,PAYA LEBAR NORTH,3588.0,2966.0,3188,2691,0,0,0,0
53,TAMPINES NORTH,3588.0,4874.0,3188,4348,0,0,0,0
54,PASIR RIS WAFER FAB PARK,3635.0,1722.0,3065,1375,0,0,0,0
55,LEONIE HILL,3713.0,3172.0,3039,2499,0,0,0,0
56,PANDAN,3737.0,2293.0,2113,1462,0,0,0,0
57,TUKANG,3746.0,1961.0,2428,1462,0,0,0,0
58,JURONG RIVER,3746.0,1961.0,3700,1555,0,0,0,0
59,SENOKO SOUTH,3753.0,4135.0,2430,2779,0,0,0,0
60,SELEGIE,3899.0,3480.0,3387,3003,0,0,0,0
61,BAYSHORE,3935.0,6491.0,3417,5813,0,0,0,0
62,MACKENZIE,3935.0,4539.0,3848,4246,0,0,0,0
63,GOODWOOD PARK,3935.0,3099.0,3148,2652,0,0,0,0
64,INTERNATIONAL BUSINESS PARK,3946.0,4513.0,2162,2633,0,0,0,0
65,SUNSET WAY,3946.0,3010.0,3148,2212,0,0,0,0
66,WOODGROVE,3963.0,7632.0,3300,6431,0,1,0,1
67,ANSON,3987.0,5447.0,2565,3575,0,0,0,0
68,PATERSON,4038.0,5568.0,4386,5485,0,0,0,0
69,WENYA,4045.0,4126.0,3072,3194,0,0,0,0
70,HILLCREST,4056.0,5057.0,3148,4292,0,0,0,0
71,CHANGI POINT,4099.0,3704.0,4506,4281,0,0,0,0
72,SELETAR,4188.0,4393.0,3472,3678,0,0,0,0
73,FORT CANNING,4282.0,4619.0,3605,4294,0,0,0,0
74,WESTERN WATER CATCHMENT,4316.0,4126.0,3457,3263,0,0,0,0
75,NORTHSHORE,4338.0,4277.0,4119,4216,0,0,0,0
76,ONE TREE HILL,4363.0,4651.0,3850,4148,0,0,0,0
77,SPRINGLEAF,4363.0,2586.0,3542,2195,0,0,0,0
78,WEST COAST,4415.0,2935.0,3341,2297,0,0,0,0
79,KENT RIDGE,4415.0,4445.0,2525,2433,0,0,0,0
80,DEPOT ROAD,4458.0,4426.0,3461,3533,0,0,0,0
81,WOODLANDS SOUTH,4459.0,6492.0,2676,4785,0,0,0,0
82,TELOK BLANGAH WAY,4499.0,7072.0,3850,5988,0,0,0,0
83,LOYANG WEST,4522.0,2877.0,3046,1556,0,0,0,0
84,CHANGI WEST,4622.0,6237.0,3640,4859,0,0,0,0
85,ROCHOR CANAL,4633.0,4406.0,4227,4040,0,0,0,0
86,CHIN BEE,4641.0,1961.0,3172,1395,0,0,0,0
87,ADMIRALTY,4650.0,4393.0,4172,3956,0,0,0,0
88,SEMBAWANG SPRINGS,4650.0,4393.0,4244,3956,0,0,0,0
89,NORTHLAND,4650.0,6115.0,3842,4828,0,0,0,0
90,KIAN TECK,4705.0,3256.0,3530,2543,0,0,0,0
91,KRANJI,4789.0,4091.0,4647,3694,0,0,0,0
92,MOUNT PLEASANT,4921.0,4638.0,3717,3335,0,0,0,0
93,RIDOUT,4959.0,5013.0,4386,4232,0,0,0,0
94,ULU PANDAN,4959.0,2495.0,4240,1974,0,0,0,0
95,WOODLEIGH,5029.0,2875.0,4096,2327,0,0,0,0
96,GHIM MOH,5042.0,5954.0,4329,5238,0,0,0,0
97,QUEENSWAY,5042.0,6043.0,3813,5302,0,0,0,0
98,KAMPONG GLAM,5042.0,4806.0,4386,4281,0,0,0,0
99,STRAITS VIEW,5097.0,5131.0,5450,5742,0,0,0,0
100,LOWER SELETAR,5129.0,7146.0,4494,6226,0,0,0,0
101,SEMBAWANG HILLS,5129.0,4393.0,4259,3755,0,0,0,0
102,FABER,5137.0,5467.0,3986,4352,0,0,0,0
103,SELETAR HILLS,5239.0,4246.0,3994,3302,0,0,0,0
104,DUNEARN,5306.0,7028.0,4647,5957,0,0,0,0
105,DEFU INDUSTRIAL PARK,5327.0,5603.0,4079,4577,0,0,0,0
106,SERANGOON NORTH IND ESTATE,5327.0,4501.0,3233,2731,0,0,0,0
107,YIO CHU KANG EAST,5502.0,4393.0,3117,2704,0,0,0,0
108,GALI BATU,5658.0,5174.0,5343,5219,0,0,0,0
109,CITY TERMINALS,5685.0,4804.0,4457,3575,0,0,0,0
110,FLORA DRIVE,5737.0,6196.0,4544,4953,0,0,0,0
111,SEMBAWANG NORTH,5824.0,4747.0,4600,3755,0,0,0,0
112,YISHUN SOUTH,5883.0,10121.0,4600,8928,0,1,0,1
113,MOUNTBATTEN,6046.0,6746.0,5158,5957,0,0,0,0
114,TAGORE,6070.0,4855.0,4827,3890,0,0,0,0
115,HONG KAH NORTH,6097.0,6779.0,5343,5625,0,0,0,0
116,CENTRAL WATER CATCHMENT,6126.0,5993.0,5654,5813,0,0,0,0
117,BRICKWORKS,6155.0,6502.0,5344,5625,0,0,0,0
118,BOAT QUAY,6157.0,3512.0,5081,2899,0,0,0,0
119,YISHUN EAST,6195.0,7146.0,4600,5758,0,0,0,0
120,PASIR PANJANG 2,6230.0,7072.0,3750,4428,0,0,0,0
121,BUKIT BATOK EAST,6320.0,7548.0,5730,6511,0,1,0,1
122,SWISS CLUB,6455.0,6506.0,5094,5645,0,0,0,0
123,CLIFFORD PIER,6475.0,6503.0,3835,4151,0,0,0,0
124,MIDVIEW,6475.0,6982.0,4935,5401,0,0,0,0
125,BUKIT HO SWEE,6496.0,7072.0,5667,6080,0,0,0,0
126,BRADDELL,6538.0,7072.0,5182,5957,0,0,0,0
127,TOH TUCK,6662.0,6980.0,5142,5416,0,0,0,0
128,MARGARET DRIVE,6779.0,7072.0,5862,6080,0,0,0,0
129,ROBERTSON QUAY,6779.0,6374.0,5862,5813,0,0,0,0
130,LORONG 8 TOA PAYOH,6785.0,6325.0,5832,5323,0,0,0,0
131,CHATSWORTH,6790.0,7072.0,5862,6237,0,0,0,0
132,KALLANG WAY,6956.0,7632.0,4329,5813,0,1,0,0
133,KAMPONG BUGIS,7026.0,6702.0,6727,6167,0,0,1,0
134,TELOK BLANGAH RISE,7115.0,7072.0,6231,6080,0,0,0,0
135,TIONG BAHRU,7115.0,7072.0,6530,6080,0,0,0,0
136,PEARL'S HILL,7115.0,7632.0,6237,6786,0,1,0,1
137,HOLLAND DRIVE,7115.0,7631.0,6237,6511,0,1,0,1
138,TANGLIN HALT,7115.0,7412.0,6237,6151,0,0,0,0
139,TUAS PROMENADE,7187.0,7083.0,6411,6306,0,0,0,1
140,BUKIT BATOK WEST,7302.0,5687.0,6378,5253,0,0,0,0
141,HILLVIEW,7302.0,7469.0,6237,6237,0,0,0,0
142,PENG SIANG,7459.0,5174.0,6536,4237,0,0,0,0
143,DAIRY FARM,7567.0,8139.0,6237,6431,0,1,0,1
144,CLEMENTI WEST,7567.0,5331.0,6650,4794,0,0,0,0
145,TOH GUAN,7567.0,7072.0,6789,6237,0,0,1,0
146,KEAT HONG,7567.0,5174.0,6536,4237,0,0,0,0
147,TUAS BAY,7698.0,7544.0,6414,6085,0,1,0,0
148,TUAS NORTH,7698.0,7786.0,6054,6306,0,1,0,1
149,MALCOLM,7782.0,7072.0,6237,5813,0,0,0,0
150,BOON TECK,7782.0,7072.0,6802,5957,0,0,1,0
151,YIO CHU KANG WEST,7807.0,7072.0,6727,5813,0,0,1,0
152,YUHUA WEST,7828.0,8358.0,6789,7518,1,1,1,1
153,KAMPONG TIONG BAHRU,7834.0,7072.0,6730,6080,1,0,1,0
154,KEBUN BAHRU,7834.0,7072.0,6727,5813,1,0,1,0
155,CECIL,7914.0,7632.0,4172,4281,1,1,0,0
156,SENNETT,7952.0,7303.0,6726,5957,1,0,1,0
157,TOWNSVILLE,7958.0,8460.0,7222,7841,1,1,1,1
158,EVERTON PARK,8081.0,7072.0,6883,6080,1,0,1,0
159,HENDERSON HILL,8084.0,8778.0,6883,7692,1,1,1,1
160,DOVER,8095.0,7469.0,6727,5998,1,0,1,0
161,YUNNAN,8095.0,8358.0,7114,7504,1,1,1,1
162,TAI SENG,8124.0,7788.0,6706,6331,1,1,0,1
163,UPPER PAYA LEBAR,8124.0,7469.0,7222,6331,1,0,1,1
164,BOON LAY PLACE,8142.0,9188.0,7392,8396,1,1,1,1
165,NORTH COAST,8142.0,7632.0,6918,6431,1,1,1,1
166,GUL CIRCLE,8158.0,8903.0,6306,6953,1,1,0,1
167,KATONG,8275.0,7788.0,7491,6938,1,1,1,1
168,TEBAN GARDENS,8338.0,7412.0,7549,6431,1,0,1,1
169,PASIR RIS WEST,8357.0,8460.0,7262,7310,1,1,1,1
170,BUKIT BATOK SOUTH,8437.0,7506.0,6907,6243,1,1,1,1
171,TELOK BLANGAH DRIVE,8437.0,7746.0,6883,6431,1,1,1,1
172,HONG KAH,8437.0,9285.0,7619,8396,1,1,1,1
173,YUHUA EAST,8437.0,8358.0,7619,7518,1,1,1,1
174,BUKIT MERAH,8437.0,8307.0,6883,6485,1,1,1,1
175,SHANGRI-LA,8516.0,7028.0,7491,5813,1,0,1,0
176,HOUGANG EAST,8603.0,8343.0,7549,7148,1,1,1,1
177,CLEMENTI WOODS,8603.0,8307.0,7619,7148,1,1,1,1
178,KANGKAR,8603.0,8798.0,7549,7692,1,1,1,1
179,FARRER COURT,8937.0,9239.0,7491,7775,1,1,1,1
180,ALEXANDRA HILL,9298.0,8778.0,7985,7518,1,1,1,1
181,PUNGGOL TOWN CENTRE,9470.0,9474.0,8305,8632,1,1,1,1
182,SERANGOON NORTH,9470.0,7469.0,7491,5957,1,0,1,0
183,MARYMOUNT,9470.0,10108.0,7993,8606,1,1,1,1
184,SERANGOON GARDEN,9470.0,10108.0,8093,8634,1,1,1,1
185,LORONG AH SOO,9470.0,9832.0,8289,8634,1,1,1,1
186,CHONG BOON,9470.0,10108.0,7993,8634,1,1,1,1
187,TRAFALGAR,9470.0,10108.0,7993,8634,1,1,1,1
188,ANG MO KIO TOWN CENTRE,9470.0,10108.0,8289,8722,1,1,1,1
189,PORT,9590.0,9061.0,6883,6485,1,1,1,1
190,NATURE RESERVE,9791.0,10244.0,8257,8416,1,1,1,1
191,YISHUN CENTRAL,9899.0,10139.0,8880,9150,1,1,1,1
192,SENJA,10123.0,10433.0,8257,8722,1,1,1,1
193,LORONG CHUAN,10123.0,10139.0,8213,8336,1,1,1,1
194,PASIR RIS DRIVE,10269.0,10727.0,8880,9150,1,1,1,1
195,FAJAR,10281.0,10510.0,8506,8722,1,1,1,1
196,NASSIM,10281.0,10727.0,8506,8847,1,1,1,1
197,MARINE PARADE,10281.0,10727.0,8880,9217,1,1,1,1
198,TYERSALL,10281.0,10510.0,8869,8847,1,1,1,1
199,CORONATION ROAD,10281.0,10727.0,8506,8632,1,1,1,1
200,TANJONG RHU,10281.0,10510.0,9543,9522,1,1,1,1
201,CLEMENTI CENTRAL,10304.0,10510.0,8506,8681,1,1,1,1
202,PASIR PANJANG 1,10304.0,10510.0,8506,8396,1,1,1,1
203,HOLLAND ROAD,10304.0,10782.0,8506,8681,1,1,1,1
204,LEEDON PARK,10304.0,10441.0,8506,8681,1,1,1,1
205,SAUJANA,10304.0,10727.0,8519,9211,1,1,1,1
206,BANGKIT,10304.0,10727.0,8880,9211,1,1,1,1
207,LAKESIDE,10407.0,10727.0,9122,9213,1,1,1,1
208,SUNGEI ROAD,10407.0,10395.0,9543,9217,1,1,1,1
209,HOUGANG WEST,10429.0,10108.0,8880,8634,1,1,1,1
210,BIDADARI,10738.0,10984.0,8622,9044,1,1,1,1
211,KAMPONG JAVA,10757.0,10727.0,9122,8722,1,1,1,1
212,GEYLANG BAHRU,10757.0,10734.0,8880,9217,1,1,1,1
213,BENCOOLEN,10757.0,10727.0,9499,9211,1,1,1,1
214,PEOPLE'S PARK,10757.0,10824.0,8742,9217,1,1,1,1
215,BRAS BASAH,10757.0,10727.0,8975,9211,1,1,1,1
216,CRAWFORD,10757.0,10727.0,9188,9217,1,1,1,1
217,KALLANG BAHRU,10757.0,10734.0,8880,8868,1,1,1,1
218,BALESTIER,10757.0,10727.0,9543,9217,1,1,1,1
219,CHINA SQUARE,10835.0,10727.0,9543,8746,1,1,1,1
220,COMMONWEALTH,11787.0,12089.0,9543,9574,1,1,1,1
221,MEI CHIN,11787.0,12089.0,9543,9574,1,1,1,1
222,SINGAPORE POLYTECHNIC,11787.0,12089.0,8506,8411,1,1,1,1
223,BOON KENG,11837.0,12089.0,9543,9574,1,1,1,1
224,ANAK BUKIT,12020.0,12089.0,9543,9574,1,1,1,1
225,ANCHORVALE,12020.0,12089.0,9543,9574,1,1,1,1
226,TECK WHYE,12020.0,12089.0,9543,9574,1,1,1,1
227,UPPER THOMSON,12020.0,12089.0,9543,9574,1,1,1,1
228,JOO KOON,12020.0,12089.0,9543,9217,1,1,1,1
229,JELEBU,12020.0,12089.0,9543,9574,1,1,1,1
230,POTONG PASIR,12020.0,11626.0,9543,9411,1,1,1,1
231,WATERWAY EAST,12020.0,12089.0,9543,9574,1,1,1,1
232,FERNVALE,12020.0,12089.0,9543,9574,1,1,1,1
233,NATIONAL UNIVERSITY OF S'PORE,12020.0,12089.0,8506,8431,1,1,1,1
234,GUILIN,12020.0,12089.0,9543,9574,1,1,1,1
235,REDHILL,12020.0,12089.0,9543,9574,1,1,1,1
236,FRANKEL,12020.0,10984.0,9543,9306,1,1,1,1
237,TURF CLUB,12020.0,12089.0,9543,9574,1,1,1,1
238,SINGAPORE GENERAL HOSPITAL,12020.0,12089.0,9543,9574,1,1,1,1
239,BUGIS,12020.0,12089.0,9543,9574,1,1,1,1
240,GOMBAK,12020.0,12089.0,9543,9574,1,1,1,1
241,MARINA CENTRE,12020.0,12089.0,9543,9574,1,1,1,1
242,BEDOK RESERVOIR,12020.0,12089.0,9543,9574,1,1,1,1
243,XILIN,12020.0,12089.0,9543,9574,1,1,1,1
244,TOA PAYOH WEST,12020.0,12089.0,9543,9574,1,1,1,1
245,PUNGGOL FIELD,12020.0,12089.0,9543,9574,1,1,1,1
246,CLARKE QUAY,12020.0,12089.0,9543,9574,1,1,1,1
247,CENTRAL SUBZONE,12020.0,12089.0,8869,8396,1,1,1,1
248,KAMPONG UBI,12020.0,12089.0,9543,9535,1,1,1,1
249,BAYFRONT SUBZONE,12020.0,12089.0,9543,9574,1,1,1,1
250,JOO SENG,12020.0,12089.0,9542,9217,1,1,1,1
251,KOVAN,12020.0,12089.0,9543,9574,1,1,1,1
252,COMPASSVALE,12020.0,12089.0,9543,9574,1,1,1,1
253,TAMAN JURONG,12020.0,12089.0,9543,9574,1,1,1,1
254,KEMBANGAN,12020.0,12089.0,9543,9574,1,1,1,1
255,LAVENDER,12020.0,12089.0,9543,9574,1,1,1,1
256,HOUGANG CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
257,ONE NORTH,12020.0,12089.0,9543,9574,1,1,1,1
258,TIONG BAHRU STATION,12020.0,12089.0,9543,9574,1,1,1,1
259,BUKIT BATOK CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
260,WOODLANDS WEST,12020.0,12089.0,9543,9574,1,1,1,1
261,MACPHERSON,12020.0,12089.0,9543,9574,1,1,1,1
262,RIVERVALE,12020.0,12089.0,9543,9574,1,1,1,1
263,BENDEMEER,12020.0,12089.0,9543,9574,1,1,1,1
264,YEW TEE,12020.0,12089.0,9543,9574,1,1,1,1
265,CLEMENTI NORTH,12020.0,12089.0,9543,9574,1,1,1,1
266,SOMERSET,12020.0,12089.0,9543,9574,1,1,1,1
267,MARITIME SQUARE,12020.0,12089.0,9543,9574,1,1,1,1
268,NEWTON CIRCUS,12020.0,12089.0,9543,9574,1,1,1,1
269,TANJONG PAGAR,12020.0,12089.0,9543,9574,1,1,1,1
270,DHOBY GHAUT,12020.0,12089.0,9543,9574,1,1,1,1
271,VICTORIA,12020.0,12089.0,9543,9574,1,1,1,1
272,CHOA CHU KANG CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
273,CHINATOWN,12020.0,12089.0,9543,9574,1,1,1,1
274,KAKI BUKIT,12020.0,12089.0,9543,9574,1,1,1,1
275,SIMEI,12020.0,12089.0,9543,9574,1,1,1,1
276,CHANGI AIRPORT,12020.0,12089.0,9543,9574,1,1,1,1
277,BEDOK SOUTH,12020.0,12089.0,9543,9574,1,1,1,1
278,SERANGOON CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
279,PASIR RIS CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
280,SENGKANG TOWN CENTRE,12020.0,12089.0,9543,9574,1,1,1,1
281,KHATIB,12020.0,12089.0,9543,9574,1,1,1,1
282,YIO CHU KANG,12020.0,12089.0,9543,9574,1,1,1,1
283,MATILDA,12020.0,12089.0,9543,9574,1,1,1,1
284,FARRER PARK,12020.0,12089.0,9543,9574,1,1,1,1
285,BISHAN EAST,12020.0,12089.0,9543,9574,1,1,1,1
286,SEMBAWANG CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
287,GEYLANG EAST,12020.0,12089.0,9543,9574,1,1,1,1
288,JURONG GATEWAY,12020.0,12089.0,9543,9574,1,1,1,1
289,BOULEVARD,12020.0,12089.0,9543,9574,1,1,1,1
290,ALJUNIED,12020.0,12089.0,9543,9574,1,1,1,1
291,JURONG WEST CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
292,TOA PAYOH CENTRAL,12020.0,12089.0,9543,9574,1,1,1,1
293,MOULMEIN,12020.0,12089.0,9543,9574,1,1,1,1
294,BEDOK NORTH,12020.0,12089.0,9543,9574,1,1,1,1
295,WOODLANDS REGIONAL CENTRE,12020.0,12089.0,9543,9574,1,1,1,1
296,CITY HALL,12020.0,12089.0,9543,9574,1,1,1,1
297,RAFFLES PLACE,12020.0,12089.0,9543,9574,1,1,1,1
298,TAMPINES EAST,12020.0,12089.0,9543,9574,1,1,1,1
299,TAMPINES WEST,12020.0,12089.0,9543,9574,1,1,1,1
300,CHENG SAN,12020.0,12089.0,9543,9574,1,1,1,1
301,YISHUN WEST,12020.0,12089.0,9543,9574,1,1,1,1
302,WOODLANDS EAST,12020.0,12089.0,9543,9574,1,1,1,1
303,MARINA EAST (MP),,,104,61,-1,-1,0,0
304,EAST COAST,,,369,525,-1,-1,0,0
