ind,node,weekday_super_spreader,weekday_super_susceptible,weekend_super_spreader,weekend_super_susceptible
0,BOULEVARD,2,2,2,1
1,NEWTON CIRCUS,2,2,2,2
2,CHINATOWN,2,2,2,2
3,CITY HALL,2,2,2,2
4,MOULMEIN,2,2,2,2
5,FARRER PARK,2,2,2,2
6,SOMERSET,2,2,2,2
7,VICTORIA,2,2,2,2
8,DHOBY GHAUT,2,2,2,2
9,RAFFLES PLACE,3,3,3,3
10,LAVENDER,2,2,2,2
11,BUGIS,2,2,2,2
12,CLARKE QUAY,2,2,2,2
13,TANJONG PAGAR,3,3,3,3
14,BAYFRONT SUBZONE,3,3,3,3
15,CENTRAL SUBZONE,2,2,3,3
16,PEOPLE'S PARK,3,2,3,2
17,KAMPONG JAVA,3,3,3,3
18,MARINA CENTRE,3,2,2,2
19,SINGAPORE GENERAL HOSPITAL,2,2,3,2
20,BRAS BASAH,3,2,2,2
21,BENCOOLEN,3,3,2,3
22,CHINA SQUARE,3,3,2,3
23,CRAWFORD,3,3,3,3
24,PEARL'S HILL,3,3,3,3
25,ROBERTSON QUAY,3,3,3,3
26,NASSIM,3,3,3,3
27,EVERTON PARK,3,3,3,3
28,SUNGEI ROAD,3,3,3,3
29,CHATSWORTH,3,3,3,3
30,CECIL,3,3,3,3
31,MACKENZIE,3,3,3,3
32,FORT CANNING,3,3,3,3
33,SELEGIE,3,3,3,3
34,BOAT QUAY,3,3,3,3
35,MALCOLM,3,3,3,3
36,INSTITUTION HILL,3,3,3,3
37,GOODWOOD PARK,3,3,3,3
38,CLIFFORD PIER,3,3,3,3
39,ONE TREE HILL,3,3,3,3
40,KAMPONG GLAM,3,3,3,3
41,ROCHOR CANAL,3,3,3,3
42,ANSON,3,3,3,3
43,LEONIE HILL,3,3,3,3
44,PATERSON,3,3,3,3
45,ORANGE GROVE,3,3,3,3
46,STRAITS VIEW,3,3,3,3
47,LITTLE INDIA,3,3,3,3
48,PHILLIP,3,3,3,3
49,OXLEY,3,3,3,3
50,TANGLIN,3,3,3,3
51,MONK'S HILL,3,3,3,3
52,MAXWELL,3,3,3,3
53,MARINA SOUTH,3,3,3,3
54,ISTANA NEGARA,3,3,3,3
55,SENGKANG TOWN CENTRE,2,2,2,2
56,HOUGANG CENTRAL,2,2,2,2
57,BISHAN EAST,2,2,2,2
58,MATILDA,2,2,2,2
59,HOUGANG WEST,2,3,3,3
60,RIVERVALE,3,2,3,2
61,PUNGGOL FIELD,2,3,2,3
62,ANCHORVALE,3,3,3,3
63,TRAFALGAR,3,3,3,3
64,COMPASSVALE,3,3,3,3
65,MARYMOUNT,3,3,2,3
66,WATERWAY EAST,3,3,3,3
67,UPPER THOMSON,2,2,2,2
68,FERNVALE,2,2,3,2
69,KANGKAR,3,3,3,3
70,HOUGANG EAST,3,3,3,3
71,PUNGGOL TOWN CENTRE,3,3,3,3
72,SELETAR,3,3,3,3
73,NORTHSHORE,3,3,3,3
74,SELETAR AEROSPACE PARK,3,3,3,3
75,PAYA LEBAR WEST,3,3,3,3
76,LORONG HALUS,3,3,3,3
77,TAMPINES EAST,2,1,1,1
78,BEDOK NORTH,2,2,2,2
79,PASIR RIS CENTRAL,2,2,2,2
80,TAMPINES WEST,3,3,2,3
81,SIMEI,3,3,2,3
82,KAKI BUKIT,2,2,2,2
83,PASIR RIS DRIVE,3,3,3,3
84,BEDOK SOUTH,3,3,3,2
85,FRANKEL,3,2,3,2
86,KEMBANGAN,3,2,3,2
87,PASIR RIS WEST,3,3,3,3
88,BEDOK RESERVOIR,3,3,3,3
89,CHANGI AIRPORT,2,2,2,2
90,XILIN,3,3,3,3
91,PASIR RIS PARK,3,3,3,3
92,FLORA DRIVE,3,3,3,3
93,TAMPINES NORTH,3,3,3,3
94,LOYANG WEST,3,3,3,3
95,CHANGI WEST,3,3,3,3
96,BAYSHORE,3,3,3,3
97,PAYA LEBAR NORTH,3,3,3,3
98,SIGLAP,3,3,3,3
99,LOYANG EAST,3,3,3,3
100,PASIR RIS WAFER FAB PARK,3,3,3,3
101,CHANGI POINT,3,3,3,3
102,PAYA LEBAR EAST,3,3,3,3
103,PLAB,3,3,3,3
104,JURONG WEST CENTRAL,1,1,1,1
105,JURONG GATEWAY,1,1,1,1
106,YUNNAN,3,3,3,3
107,HONG KAH,3,3,3,3
108,TAMAN JURONG,2,2,2,2
109,BOON LAY PLACE,3,3,3,3
110,YUHUA EAST,3,3,3,3
111,TOH GUAN,3,3,3,3
112,YUHUA WEST,3,3,3,3
113,JOO KOON,2,2,2,2
114,TEBAN GARDENS,3,3,3,3
115,TOH TUCK,3,3,3,3
116,LAKESIDE,3,3,3,2
117,KIAN TECK,3,3,3,3
118,WESTERN WATER CATCHMENT,3,3,3,3
119,CHIN BEE,3,3,3,3
120,WENYA,3,3,3,3
121,GUL CIRCLE,3,3,3,3
122,TUKANG,3,3,3,3
123,INTERNATIONAL BUSINESS PARK,3,3,3,3
124,LIU FANG,3,3,3,3
125,BENOI SECTOR,3,3,3,3
126,PENJURU CRESCENT,3,3,3,3
127,JURONG RIVER,3,3,3,3
128,TENGAH,3,3,3,3
129,JURONG PORT,3,3,3,3
130,GUL BASIN,3,3,3,3
131,SAMULUN,3,3,3,3
132,SHIPYARD,3,3,3,3
133,PIONEER SECTOR,3,3,3,3
134,SAFTI,3,3,3,3
135,ALJUNIED,2,2,2,2
136,GEYLANG EAST,2,2,2,2
137,BENDEMEER,2,2,2,2
138,MACPHERSON,2,2,2,2
139,KAMPONG UBI,2,2,3,2
140,BOON KENG,3,3,3,3
141,KALLANG BAHRU,3,3,3,3
142,JOO SENG,2,3,3,3
143,MARINE PARADE,2,2,2,2
144,GEYLANG BAHRU,3,3,3,3
145,POTONG PASIR,2,2,2,3
146,KATONG,3,3,3,3
147,SENNETT,3,3,3,3
148,KALLANG WAY,3,3,3,3
149,TANJONG RHU,3,3,3,3
150,MOUNTBATTEN,3,3,3,3
151,WOODLEIGH,3,3,3,3
152,KAMPONG BUGIS,3,3,3,3
153,CLEMENTI CENTRAL,2,2,2,2
154,CLEMENTI NORTH,2,2,2,2
155,ONE NORTH,2,2,2,2
156,MEI CHIN,2,2,2,2
157,COMMONWEALTH,2,2,2,2
158,NATIONAL UNIVERSITY OF S'PORE,3,3,3,3
159,SINGAPORE POLYTECHNIC,2,3,2,3
160,CLEMENTI WOODS,3,3,3,3
161,CLEMENTI WEST,3,3,3,3
162,DOVER,3,3,3,3
163,HOLLAND ROAD,2,2,3,3
164,TANGLIN HALT,3,3,3,3
165,HOLLAND DRIVE,3,3,3,3
166,PASIR PANJANG 1,2,3,2,3
167,LEEDON PARK,3,3,2,2
168,MARGARET DRIVE,3,3,3,3
169,GHIM MOH,3,3,3,3
170,TYERSALL,3,2,3,2
171,CORONATION ROAD,3,3,3,3
172,FARRER COURT,3,3,3,3
173,PANDAN,3,3,3,3
174,FABER,3,3,3,3
175,QUEENSWAY,3,3,3,3
176,WEST COAST,3,3,3,3
177,ULU PANDAN,3,3,3,3
178,RIDOUT,3,3,3,3
179,PORT,3,3,3,3
180,SUNSET WAY,3,3,3,3
181,DUNEARN,3,3,3,3
182,KENT RIDGE,3,3,3,3
183,CHOA CHU KANG CENTRAL,1,1,1,1
184,JELEBU,2,2,2,2
185,TECK WHYE,2,2,2,2
186,SAUJANA,3,3,3,3
187,YEW TEE,2,2,2,2
188,BANGKIT,3,3,3,2
189,PENG SIANG,3,3,3,3
190,KEAT HONG,3,3,3,3
191,FAJAR,3,3,3,3
192,SENJA,3,3,3,2
193,CHOA CHU KANG NORTH,3,3,3,3
194,DAIRY FARM,3,3,3,3
195,LIM CHU KANG,3,3,3,3
196,WOODLANDS REGIONAL CENTRE,1,1,1,1
197,WOODLANDS EAST,1,1,2,1
198,WOODLANDS WEST,3,2,3,2
199,MIDVIEW,3,3,3,3
200,NORTH COAST,3,3,3,3
201,WOODLANDS SOUTH,3,3,3,3
202,TURF CLUB,2,2,2,2
203,WOODGROVE,3,3,3,3
204,SENOKO SOUTH,3,3,3,3
205,GREENWOOD PARK,3,3,3,3
206,SENOKO WEST,3,3,3,3
207,GALI BATU,3,3,3,3
208,KRANJI,3,3,3,3
209,RESERVOIR VIEW,3,3,3,3
210,PANG SUA,3,3,3,3
211,TIONG BAHRU STATION,2,2,2,2
212,MARITIME SQUARE,1,1,1,1
213,REDHILL,2,2,2,2
214,BUKIT MERAH,3,3,3,3
215,ALEXANDRA HILL,2,2,2,2
216,HENDERSON HILL,3,3,3,3
217,TELOK BLANGAH DRIVE,3,3,3,3
218,TIONG BAHRU,3,3,3,3
219,TELOK BLANGAH RISE,3,3,3,3
220,KAMPONG TIONG BAHRU,3,3,3,3
221,TELOK BLANGAH WAY,3,3,3,3
222,BUKIT HO SWEE,3,3,3,3
223,DEPOT ROAD,3,3,3,3
224,PASIR PANJANG 2,3,3,3,3
225,CITY TERMINALS,3,3,3,3
226,ALEXANDRA NORTH,3,3,3,3
227,SENTOSA,3,3,3,3
228,YISHUN CENTRAL,2,2,2,2
229,YISHUN WEST,1,1,1,1
230,YISHUN EAST,3,3,3,3
231,YISHUN SOUTH,2,3,2,3
232,KHATIB,2,1,2,1
233,NORTHLAND,3,3,3,3
234,LOWER SELETAR,3,3,3,3
235,MANDAI ESTATE,3,3,3,3
236,ANG MO KIO TOWN CENTRE,2,2,2,2
237,CHENG SAN,2,2,2,2
238,CHONG BOON,3,3,2,3
239,YIO CHU KANG,2,2,2,2
240,KEBUN BAHRU,3,3,3,3
241,SHANGRI-LA,3,3,3,3
242,YIO CHU KANG WEST,3,3,3,3
243,TOWNSVILLE,2,3,2,3
244,YIO CHU KANG EAST,3,3,3,3
245,SELETAR HILLS,3,3,3,3
246,SERANGOON NORTH IND ESTATE,3,3,3,3
247,SEMBAWANG HILLS,3,3,3,3
248,TAGORE,3,3,3,3
249,YIO CHU KANG NORTH,3,3,3,3
250,CENTRAL WATER CATCHMENT,3,3,3,3
251,SPRINGLEAF,3,3,3,3
252,NEE SOON,3,3,3,3
253,SENGKANG WEST,3,3,3,3
254,MANDAI WEST,3,3,3,3
255,TOA PAYOH CENTRAL,1,1,1,1
256,BALESTIER,2,2,2,2
257,TOA PAYOH WEST,2,2,2,3
258,BOON TECK,3,3,3,3
259,BRADDELL,3,3,3,3
260,PEI CHUN,3,3,3,3
261,LORONG 8 TOA PAYOH,3,3,3,3
262,KIM KEAT,3,3,3,3
263,MOUNT PLEASANT,3,3,3,3
264,BUKIT BATOK CENTRAL,2,2,2,1
265,GUILIN,2,2,2,2
266,ANAK BUKIT,2,2,2,2
267,BUKIT BATOK SOUTH,3,3,3,3
268,BUKIT BATOK WEST,3,3,3,3
269,BUKIT BATOK EAST,3,3,3,3
270,BRICKWORKS,3,3,3,3
271,HONG KAH NORTH,3,3,3,3
272,GOMBAK,2,2,2,2
273,HILLVIEW,3,3,3,3
274,SWISS CLUB,3,3,3,3
275,NATURE RESERVE,3,3,3,3
276,HILLCREST,3,3,3,3
277,SERANGOON CENTRAL,2,2,2,2
278,SERANGOON GARDEN,2,3,3,3
279,KOVAN,3,3,3,3
280,LORONG AH SOO,3,3,3,3
281,SERANGOON NORTH,3,3,3,3
282,UPPER PAYA LEBAR,3,3,3,3
283,LORONG CHUAN,3,3,3,3
284,TAI SENG,3,3,3,3
285,BIDADARI,3,3,3,3
286,SEMBAWANG CENTRAL,1,1,1,1
287,SEMBAWANG NORTH,3,3,3,3
288,ADMIRALTY,3,3,3,3
289,SEMBAWANG SPRINGS,3,3,3,3
290,SEMBAWANG EAST,3,3,3,3
291,SENOKO NORTH,3,3,3,3
292,MANDAI EAST,3,3,3,3
293,SEMBAWANG STRAITS,3,3,3,3
294,THE WHARVES,3,3,3,3
295,TUAS BAY,3,3,3,3
296,TUAS NORTH,3,3,3,3
297,TUAS PROMENADE,3,3,3,3
298,TUAS VIEW,3,3,3,3
299,TUAS VIEW EXTENSION,3,3,3,3
300,TENGEH,3,3,3,3
301,DEFU INDUSTRIAL PARK,3,3,3,3
302,AIRPORT ROAD,3,3,3,3
303,EAST COAST,3,3,3,3
304,MARINA EAST (MP),3,3,3,3
